"Reference","Value","Footprint","Qty","DNP","Thegioiic_Buylink","Part number ","manafacture"
"C1,C3","0.1uF/275VAC","trainFootprint:C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT","2","","https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac","",""
"C2,C4","10nF/1000V","trainFootprint:C_Rect_L7.0mm_W2.0mm_P5.00mm","2","","https://www.thegioiic.com/tu-gom-xanh-10nf-1000v","",""
"C5","220uF/6.3x7.7/6.3V","trainFootprint:CP_Elec_6.3x7.7","1","","https://www.thegioiic.com/tu-nhom-smd-220uf-16v-6-3x7-7mm","",""
"C6,C9,C11","10uF/0603/6.3V","trainFootprint:C_0603","3","","https://www.thegioiic.com/tu-gom-0603-10uf-16v","",""
"C7,C8,C15,C17","100nF/0603/50V","trainFootprint:C_0603","4","","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-50v","",""
"C10,C14,C16","1uF/0603/50V","trainFootprint:C_0603","3","","https://www.thegioiic.com/tu-gom-0603-1uf-25v","",""
"D2","SS54/SMA","trainFootprint:D_SMA","1","","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v","",""
"F1","300mA/250VAC","trainFootprint:RV_Disc_D12mm_W3.9mm_P7.5mm","1","","https://www.thegioiic.com/gr250-300-cau-chi-tu-phuc-hoi-250v-300ma","",""
"F2","0.9-1.2A/1812/24V","trainFootprint:Fuse_1812_4532Metric","1","","https://www.thegioiic.com/mf-msmf110-24x-2-cau-chi-tu-phuc-hoi-1812-24v-1-1a","",""
"FL1","10mH/UU9.8","trainFootprint:ACFilterChokeUU9.8","1","","https://www.thegioiic.com/cuon-cam-10mh-uu9-8-103","",""
"H1","MountingHole_Pad","trainFootprint:MountingHole_3.2mm_M3_Pad_Via","1","DNP","","",""
"J1","DC5521/2.1mm","trainFootprint:BarrelJack_Wuerth_6941xx301002","1","","https://www.thegioiic.com/dc5521-dau-noi-nguon-dc-cai-5521-han-pcb-kim-2-1mm","",""
"L1","68uH 2A/10.4x10.4","trainFootprint:L_10.4x10.4_H4.8","1","","https://www.thegioiic.com/cuon-cam-dan-smd-cdrh104-1038-680-68uh-2-08a","",""
"LE1,LE4","RED/0603","trainFootprint:LED_0603","2","","https://www.thegioiic.com/led-do-0603-dan-smd-trong-suot","",""
"PS1","HLK-10M05","trainFootprint:ACDC_HLK10M05","1","","https://www.thegioiic.com/hlk-10m05-chuyen-doi-ac-dc-220-5v-10w-hi-link","",""
"Q6","SI2301/SOT23-3","trainFootprint:SOT23-3","1","","https://www.thegioiic.com/si2301ds-mosfet-kenh-p-20v-2-3a-sot-23-3","",""
"R1,R6","1K/0603/5%","trainFootprint:C_0603","2","","https://www.thegioiic.com/dien-tro-1-kohm-0603-1-","",""
"R2","100K/0603/5%","trainFootprint:C_0603","1","","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-","",""
"R37","10K","trainFootprint:C_0603","1","","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-","",""
"R38","20K","trainFootprint:C_0603","1","","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-","",""
"RV1","10D561","trainFootprint:RV_Disc_D12mm_W5.8mm_P7.5mm","1","","https://www.thegioiic.com/tu-chong-set-varistor-10d561k-560v","",""
"U1","XL1509-5.0E1","trainFootprint:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.thegioiic.com/xl1509-5-0e1-ic-on-ap-5v-2a-8-soic","",""
"U2","AMS1117-3.3","trainFootprint:SOT-223-3_TabPin2","1","","https://www.thegioiic.com/ams1117-3-3v-ic-on-ap-3-3v-1a-sot-223","",""
"Z2","3.3V/SOD-123","trainFootprint:D_SOD-123","1","","https://www.thegioiic.com/bzt52h-c3v3-diode-zener-3-3v-375mw-sod-123f","",""
