Comment,Designator,Footprint,LCSC,Quantity
Buzzer,BZ1,Buzzer_12x9.5RM7.6,,1
header-2.54mm-7p,J5,PinHeader_1x07_P2.54mm_Vertical,,1
68uH 2A/10.4x10.4,L1,L_10.4x10.4_H4.8,,1
3.3V/SOD-123,Z2,D_SOD-123,,1
SS54/SMA,D2,D_SMA,,1
1uF/0603/50V,C10,C_0603,,1
1uF/0603/50V,C14,C_0603,,1
0.9-1.2A/1812/24V,F2,Fuse_1812_4532Metric,,1
100nF/0603/50V,C17,C_0603,,1
1K/0603/5%,R6,C_0603,,1
RED/0603,LE4,LED_0603,,1
1uF/0603/50V,C16,C_0603,,1
100nF/0603/50V,C15,C_0603,,1
100nF/0603/50V,C8,C_0603,,1
XL1509-5.0E1,U1,SOIC-8_3.9x4.9mm_P1.27mm,,1
200R/0603/5%,R17,C_0603,,1
10uF/0603/6.3V,C25,C_0603,,1
RED/0603,LE12,LED_0603,,1
EL357N-G/SOP-4,U9,OPTO_EL357N-G,,1
RED/0603,LE2,LED_0603,,1
1uF/0603/50V,C13,C_0603,,1
RED/0603,LE9,LED_0603,,1
EL357N-G/SOP-4,U8,OPTO_EL357N-G,,1
1K/0603/5%,R4,C_0603,,1
10K/0603/5%,R3,C_0603,,1
EL357N-G/SOP-4,U5,OPTO_EL357N-G,,1
200R/0603/5%,R20,C_0603,,1
1K/0603/5%,R19,C_0603,,1
EL357N-G/SOP-4,U6,OPTO_EL357N-G,,1
10K/0603/5%,R18,C_0603,,1
RED/0603,LE3,LED_0603,,1
1K/0603/5%,R1,C_0603,,1
1K/0603/5%,R9,C_0603,,1
10K/0603/5%,R36,C_0603,,1
RED/0603,LE14,LED_0603,,1
G5NB-1A-E_DC5,RL3,Relay_G5NB-1A-E DC5,,1
1uF/0603/50V,C12,C_0603,,1
10nF/1000V,C2,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
HLK-10M05,PS1,ACDC_HLK10M05,,1
20K,R38,C_0603,,1
RED/0603,LE8,LED_0603,,1
4.7K/0603/5%,R32,C_0603,,1
10K/0603/5%,R23,C_0603,,1
USB_A_Stacked,J2,USB_A_Wuerth_61400826021_Horizontal_Stacked,,1
1N4007/SOD-123,D7,D_SOD-123,,1
10K/0603/5%,R14,C_0603,,1
10uF/0603/6.3V,C6,C_0603,,1
10uF/0603/6.3V,C11,C_0603,,1
4.7K/0603/1%,R22,C_0603,,1
10mH/UU9.8,FL1,ACFilterChokeUU9.8,,1
1K/0603/5%,R11,C_0603,,1
100nF/0603/50V,C28,C_0603,,1
SI2301/SOT23-3,Q6,SOT23-3,,1
RTC_DS3231M,IC2,SOIC-16W_7.5x10.3mm_P1.27mm,,1
100nF/0603/50V,C7,C_0603,,1
G5NB-1A-E_DC5,RL1,Relay_G5NB-1A-E DC5,,1
0.1uF/275VAC,C1,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,,1
10uF/0603/6.3V,C26,C_0603,,1
1N4007/SOD-123,D6,D_SOD-123,,1
100nF/0603/50V,C22,C_0603,,1
tactileSW/4.2x3.3,SW2,SW_SPST_PTS810,,1
SI2300/SOT23-3,Q5,SOT23-3,,1
10nF/0603/50V,C31,C_0603,,1
100K/0603/5%,R2,C_0603,,1
100K/0603/5%,R7,C_0603,,1
0.1uF/275VAC,C3,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,,1
10uF/0603/6.3V,C29,C_0603,,1
1K/0603/5%,R35,C_0603,,1
10K/0603/5%,R10,C_0603,,1
G5NB-1A-E_DC5,RL4,Relay_G5NB-1A-E DC5,,1
1K/0603/5%,R29,C_0603,,1
10D561,RV1,RV_Disc_D12mm_W5.8mm_P7.5mm,,1
CR1220,BT1,BatteryHolder_CR1220,,1
10K,R37,C_0603,,1
ESP32-WROOM-32E,U10,ESP32-WROOM-32E,,1
1N4007/SOD-123,D5,D_SOD-123,,1
1N4148/SOD323,D3,D_SOD323,,1
4.7K/0603/5%,R33,C_0603,,1
1K/0603/5%,R15,C_0603,,1
BAT54C/SOT23-3,D4,SOT23-3,,1
MiSD-PP-9P-V1,J6,MicroSD_Socket_9P,,1
3.3V/SOD-123,Z1,D_SOD-123,,1
10uF/0603/6.3V,C33,C_0603,,1
100nF/0603/50V,C23,C_0603,,1
1K/0603/5%,R8,C_0603,,1
DC5521/2.1mm,J1,BarrelJack_Wuerth_6941xx301002,,1
RED/0603,LE6,LED_0603,,1
G5NB-1A-E_DC5,RL2,Relay_G5NB-1A-E DC5,,1
RED/0603,LE7,LED_0603,,1
100nF/0603/50V,C24,C_0603,,1
220uF/6.3x7.7/6.3V,C5,CP_Elec_6.3x7.7,,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,,1
100nF/0603/50V,C19,C_0603,,1
1K/0603/5%,R34,C_0603,,1
10K/0603/5%,R16,C_0603,,1
1N4007/SOD-123,D8,D_SOD-123,,1
100nF/0603/50V,C30,C_0603,,1
9.1K/0603/1%,R21,C_0603,,1
10K/0603/5%,R30,C_0603,,1
1uF/0603/50V,C18,C_0603,,1
300mA/250VAC,F1,RV_Disc_D12mm_W3.9mm_P7.5mm,,1
200R/0603/5%,R5,C_0603,,1
RED/0603,LE13,LED_0603,,1
USB_A_Stacked,J4,USB_A_Wuerth_61400826021_Horizontal_Stacked,,1
1K/0603/5%,R26,C_0603,,1
SI2300/SOT23-3,Q2,SOT23-3,,1
TestPoint,,TestPoint_Pad_D1.0mm,,0
200R/0603/5%,R27,C_0603,,1
ACS712ELCTR-20A-T/SOIC-8,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
SI2300/SOT23-3,Q3,SOT23-3,,1
100nF/0603/50V,C27,C_0603,,1
100nF/0603/50V,C21,C_0603,,1
RTC_DS3231M,IC1,SOIC-16W_7.5x10.3mm_P1.27mm,,1
1K/0603/5%,R13,C_0603,,1
SI2300/SOT23-3,Q1,SOT23-3,,1
10uF/0603/6.3V,C9,C_0603,,1
1uF/0603/50V,C20,C_0603,,1
HB9500-6P,J3,TerminalBlock_Screw_HB9500_6P_P9.5mm,,1
10uF/0603/6.3V,C32,C_0603,,1
10K/0603/5%,R28,C_0603,,1
tactileSW/4.2x3.3,SW1,SW_SPST_PTS810,,1
MountingHole_Pad,,MountingHole_3.2mm_M3_Pad_Via,,0
SI2300/SOT23-3,Q4,SOT23-3,,1
10K/0603/5%,R12,C_0603,,1
PCF8574/SOIC-16W,U3,SOIC-16W_7.5x10.3mm_P1.27mm,,1
RED/0603,LE1,LED_0603,,1
10nF/1000V,C4,C_Rect_L7.0mm_W2.0mm_P5.00mm,,1
RED/0603,LE5,LED_0603,,1
10K/0603/5%,R31,C_0603,,1
