Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR1220,BatteryHolder_CR1220,208.899998,-65.675,90.0,top
BZ1,Buzzer,Buzzer_12x9.5RM7.6,252.9,-74.6,0.0,top
C1,0.1uF/275VAC,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,161.99,-117.59,0.0,top
C10,1uF/0603/50V,C_0603,176.725,-42.48,180.0,top
C11,10uF/0603/6.3V,C_0603,191.615,-41.1,180.0,top
C12,1uF/0603/50V,C_0603,253.55,-98.555,0.0,top
C13,1uF/0603/50V,C_0603,253.55,-100.805,0.0,top
C14,1uF/0603/50V,C_0603,175.66,-56.9,0.0,top
C15,100nF/0603/50V,C_0603,175.66,-59.15,0.0,top
C16,1uF/0603/50V,C_0603,179.2,-52.35,0.0,top
C17,100nF/0603/50V,C_0603,179.2,-54.6,0.0,top
C18,1uF/0603/50V,C_0603,229.68,-79.087893,0.0,top
C19,100nF/0603/50V,C_0603,229.68,-81.337893,0.0,top
C2,10nF/1000V,C_Rect_L7.0mm_W2.0mm_P5.00mm,148.05,-115.3,90.0,top
C20,1uF/0603/50V,C_0603,180.015,-68.856393,0.0,top
C21,100nF/0603/50V,C_0603,183.38,-82.156393,0.0,top
C22,100nF/0603/50V,C_0603,233.3,-94.125,90.0,top
C23,100nF/0603/50V,C_0603,235.55,-94.125,90.0,top
C24,100nF/0603/50V,C_0603,237.8,-94.125,90.0,top
C25,10uF/0603/6.3V,C_0603,253.55,-103.055,0.0,top
C26,10uF/0603/6.3V,C_0603,258.285,-53.0,0.0,top
C27,100nF/0603/50V,C_0603,237.75,-69.725,-90.0,top
C28,100nF/0603/50V,C_0603,235.5,-69.725,-90.0,top
C29,10uF/0603/6.3V,C_0603,258.285,-55.25,0.0,top
C3,0.1uF/275VAC,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,162.89,-97.81,0.0,top
C30,100nF/0603/50V,C_0603,221.415,-59.6,0.0,top
C31,10nF/0603/50V,C_0603,258.285,-57.5,0.0,top
C32,10uF/0603/6.3V,C_0603,221.415,-61.85,0.0,top
C33,10uF/0603/6.3V,C_0603,221.415,-64.1,0.0,top
C4,10nF/1000V,C_Rect_L7.0mm_W2.0mm_P5.00mm,151.6,-115.3,90.0,top
C5,220uF/6.3x7.7/6.3V,CP_Elec_6.3x7.7,188.2,-58.8,90.0,top
C6,10uF/0603/6.3V,C_0603,198.15,-55.4,90.0,top
C7,100nF/0603/50V,C_0603,200.4,-55.4,90.0,top
C8,100nF/0603/50V,C_0603,184.8,-34.2,180.0,top
C9,10uF/0603/6.3V,C_0603,191.615,-43.95,180.0,top
D2,SS54/SMA,D_SMA,184.375,-43.1,180.0,top
D3,1N4148/SOD323,D_SOD323,228.3004,-98.745,0.0,top
D4,BAT54C/SOT23-3,SOT23-3,222.3915,-74.574558,0.0,top
D5,1N4007/SOD-123,D_SOD-123,199.6875,-90.737499,180.0,top
D6,1N4007/SOD-123,D_SOD-123,215.8,-100.3,90.0,top
D7,1N4007/SOD-123,D_SOD-123,182.6075,-96.764999,180.0,top
D8,1N4007/SOD-123,D_SOD-123,208.17,-93.44,180.0,top
F1,300mA/250VAC,RV_Disc_D12mm_W3.9mm_P7.5mm,149.3,-129.95,90.0,top
F2,0.9-1.2A/1812/24V,Fuse_1812_4532Metric,184.605,-38.16,180.0,top
FL1,10mH/UU9.8,ACFilterChokeUU9.8,162.45,-107.7,0.0,top
